Client_ID,Age,Annual_Income,Spending_Score,Online_Purchases,Loyalty_Card,Income_Category,Monthly_Expenses
1,56,92879,54,36,False,High,5396.905566525083
2,69,146727,88,25,False,Very High,6597.651081587961
3,46,54859,68,34,False,Medium,1083.6364722774147
4,32,62098,92,33,False,Medium,3603.8370713828044
5,60,132413,79,34,True,Very High,4457.32081561564
6,25,10526,1,39,True,Low,301.4832946357312
7,38,78760,55,15,True,High,3143.4401874414275
8,56,57837,3,37,False,Medium,1697.2932578393054
9,36,21536,78,12,True,Low,436.51453638915007
10,40,38541,38,22,False,Medium,644.6437404422729
11,28,89083,1,21,True,High,3153.476409508155
12,28,44531,38,15,True,Medium,2294.9485439655155
13,41,18712,85,27,False,Low,758.0817397295829
14,53,114101,29,47,False,High,6652.12300069773
15,57,75455,5,34,True,High,2159.4172353045615
16,41,84744,74,44,True,High,2402.6868336677553
17,20,139749,92,45,True,Very High,3259.351138259728
18,39,15109,21,7,True,Low,355.1015314625395
19,19,59268,71,43,True,Medium,1692.0682988468131
20,41,64615,67,21,False,Medium,3211.473313556206
21,61,92503,47,20,False,High,5032.767516843472
22,47,95708,84,25,False,High,5483.618451599282
23,55,112471,83,39,False,High,2963.0937369117555
24,19,93309,35,20,True,High,4981.524695154387
25,38,136446,68,24,True,Very High,4140.31224631398
26,50,116661,69,40,False,High,2492.853781828511
27,29,16154,1,0,True,Low,854.8326102855316
28,39,74288,68,5,False,High,3207.092307766881
29,61,61195,12,22,True,Medium,1439.9461327366905
30,42,30581,60,22,True,Medium,1057.3779035835469
31,66,40087,27,42,True,Medium,1147.9208006057088
32,44,79298,56,42,False,High,3756.063987899216
33,59,56167,23,22,False,Medium,1997.2428927280525
34,45,49499,25,31,False,Medium,2865.3320001175393
35,33,135816,21,29,False,Very High,2573.401854607049
36,32,106347,61,12,True,High,3345.567021157976
37,64,58787,63,42,True,Medium,2160.1777134955933
38,68,45488,52,17,True,Medium,1711.7391307663152
39,61,84441,88,22,True,High,2518.9306990860646
40,69,32431,25,14,False,Medium,1525.9329382701344
41,20,71681,55,32,True,High,3807.2977072817994
42,54,132720,46,20,True,Very High,7403.117739937582
43,68,59153,32,38,True,Medium,2970.2036882425987
44,24,16368,55,22,False,Low,852.8956945631007
45,38,122360,96,26,False,Very High,4846.196790994276
46,26,122755,5,44,False,Very High,6270.162884792651
47,56,66985,36,43,True,Medium,1963.5087230948159
48,35,60069,49,17,False,Medium,1998.4925317141
49,21,62326,58,23,True,Medium,1861.7633541356076
50,42,118737,39,46,True,High,4291.29041871168
51,31,60861,80,39,True,Medium,1738.5442093291517
52,67,85897,97,41,False,High,4873.264085638759
53,26,137118,85,6,False,Very High,4072.6595709533835
54,43,78577,61,49,True,High,1630.6185696309717
55,19,19078,9,47,True,Low,736.742412246241
56,37,72768,6,19,False,High,1385.9244058457748
57,45,61047,35,26,False,Medium,1298.630361401663
58,64,81626,39,5,False,High,2106.5949284388666
59,24,67660,22,26,True,Medium,2436.7474127927376
60,61,142997,41,8,True,Very High,4964.682648641418
61,25,127832,5,44,True,Very High,6389.958754314199
62,64,140406,42,30,False,Very High,6666.211593885534
63,52,135150,87,20,False,Very High,4653.204893035137
64,31,43320,81,25,False,Medium,1324.336094674012
65,34,74881,76,39,True,High,2235.4124591378777
66,53,100827,87,47,True,High,4932.100111108044
67,67,112215,80,44,False,High,2113.7210443383246
68,57,144461,67,12,True,Very High,2484.859512914651
69,21,71550,30,48,False,High,3564.2167184313194
70,19,34826,57,22,True,Medium,1272.8124870914428
71,23,110734,86,19,False,High,2449.44133319132
72,59,108511,73,36,True,High,2873.5789636993304
73,21,21653,29,27,True,Low,1202.1961706840675
74,46,91941,37,16,False,High,4824.998461747031
75,35,43662,87,27,False,Medium,2018.9764526199622
76,43,108818,13,40,False,High,4000.0827131186334
77,61,105081,32,1,False,High,4029.521956825708
78,51,46877,46,24,False,Medium,2686.139086687755
79,27,121562,23,49,True,Very High,6917.741112477571
80,53,82715,45,40,False,High,2120.4991300906368
81,31,120091,17,5,False,Very High,6060.1149363404975
82,48,142632,85,10,False,Very High,3549.413165030581
83,65,89148,66,37,True,High,2278.9849615999374
84,32,93186,6,5,False,High,4178.20022840251
85,25,133629,18,44,False,Very High,4482.145491798146
86,31,80316,94,10,False,High,4456.01335838197
87,40,38380,22,13,True,Medium,782.0080677212009
88,57,120198,33,1,True,Very High,4565.148290584143
89,38,12356,30,39,False,Low,678.8188345898002
90,33,80326,81,2,True,High,4364.75974548653
91,62,102447,32,34,False,High,2375.6145136167684
92,35,124994,42,32,True,Very High,3992.713028577353
93,64,30049,78,23,False,Medium,1275.9824562501324
94,41,115361,10,18,True,High,2688.8480542547386
95,43,26082,36,17,False,Low,1486.6980954707064
96,42,10661,34,48,False,Low,584.0226080652327
97,62,12920,73,23,True,Low,305.2081797135559
98,58,89561,28,44,False,High,1944.8001777497966
99,46,18946,11,34,False,Low,383.18954647022474
100,32,26309,78,0,False,Low,1435.4230565474884
101,62,65230,39,35,False,Medium,1613.4200463732461
102,18,121822,47,24,True,Very High,4143.394273547099
103,42,122340,19,44,False,Very High,4327.019836411085
104,24,69321,15,48,True,Medium,2885.518524830363
105,26,142028,28,42,True,Very High,2791.6511417399697
106,41,84131,24,33,True,High,2197.0762183551174
107,18,35963,72,24,True,Medium,1995.1828660318886
108,61,111757,9,15,False,High,6092.666181583897
109,25,109259,47,33,False,High,5377.776451870771
110,41,49063,33,28,True,Medium,857.3784714069377
111,28,124225,62,18,False,Very High,3763.0173256845123
112,68,126400,97,22,True,Very High,5413.916006139315
113,34,90818,19,18,False,High,2554.976027201813
114,25,14703,67,24,False,Low,802.2855490573202
115,52,82099,74,15,False,High,3536.720455290902
116,52,41585,40,8,True,Medium,817.676701650183
117,50,53585,47,0,True,Medium,2922.6276865733807
118,22,36958,65,41,False,Medium,2090.847506369868
119,59,36017,29,18,True,Medium,716.9070072172824
120,56,134677,50,32,True,Very High,5231.978306267388
121,58,39426,98,33,False,Medium,1155.4516746073284
122,45,27778,13,15,True,Low,917.6451611041832
123,24,52229,1,43,False,Medium,1261.4418109412316
124,26,96652,34,39,False,High,3938.859366820987
125,25,138267,93,17,False,Very High,7823.4888014860135
126,29,136503,48,33,True,Very High,5136.33829811981
127,51,94878,77,24,False,High,1909.0820688977328
128,50,67056,48,44,False,Medium,2849.8837257358787
129,65,29975,49,5,True,Low,924.5076774448512
130,40,98397,64,20,True,High,5149.136286675622
131,41,43142,61,5,True,Medium,1500.4035281112149
132,54,36916,29,31,True,Medium,911.8861251546642
133,52,74324,39,40,False,High,1830.555595870694
134,61,135932,88,47,True,Very High,6619.68552557453
135,57,145720,26,42,True,Very High,4041.22603438952
136,39,106059,17,38,True,High,5158.150272963876
137,44,108317,71,30,True,High,2734.4956600127393
138,52,45046,13,41,False,Medium,1354.5451735216325
139,18,111459,69,9,True,High,4019.429685881519
140,52,55893,26,29,False,Medium,3128.135234454835
141,54,111520,49,17,True,High,6188.112020356105
